set_id,description,price,img_url_1,img_url_2,color,category
29,Gold Hammered Circular Pattern Dangler Earrings,650.00,https://img.faballey.com/Images/Product/ZEA00270/1.jpg,https://img.faballey.com/images/Product/ZEA00270/2.jpg,gold,earrings
30,Gold Pearl Overlap Stud Earrings,475.00,https://img.faballey.com/Images/Product/ZEA00367/1.jpg,https://img.faballey.com/images/Product/ZEA00367/2.jpg,Gold,earrings
31,Gold Red Kundan Beaded Dangler Earrings,475.00,https://img.faballey.com/Images/Product/ZEA00488/1.jpg,https://img.faballey.com/images/Product/ZEA00488/2.jpg,Maroon,earrings
2,Gold Black Round Stone Cuff Bracelet,700.00,https://img.faballey.com/Images/Product/ZBR00061/1.jpg,https://img.faballey.com/images/Product/ZBR00061/2.jpg,black,bangles-bracelets
3,Gold Kundan Pearl Bracelet,1050.00,https://img.faballey.com/Images/Product/ZBR00039/1.jpg,https://img.faballey.com/images/Product/ZBR00039/2.jpg,white,bangles-bracelets
4,Gold Toned Hand Hammered Cuff Bracelet,1050.00,https://img.faballey.com/Images/Product/ZBR00021/1.jpg,https://img.faballey.com/images/Product/ZBR00021/2.jpg,gold,bangles-bracelets
5,Gold Kundan Bracelet With Red Green Delicate Drops,1200.00,https://img.faballey.com/Images/Product/ZBR00048/1.jpg,https://img.faballey.com/images/Product/ZBR00048/2.jpg,green,bangles-bracelets
32,Gold Crystal Pearl Circular Stud Earrings,1100.00,https://img.faballey.com/Images/Product/ZEA00479/1.jpg,https://img.faballey.com/images/Product/ZEA00479/2.jpg,Gold,earrings
33,Gold Textured Tie Wire Hoop Earrings,400.00,https://img.faballey.com/Images/Product/ZEA00375/1.jpg,https://img.faballey.com/images/Product/ZEA00375/2.jpg,Gold,earrings
34,Gold Green Enamel Kundan Jhumka Earrings,600.00,https://img.faballey.com/Images/Product/ZEA00449/1.jpg,https://img.faballey.com/images/Product/ZEA00449/2.jpg,Green,earrings
35,Antique Gold Daana Hoop Earrings,650.00,https://img.faballey.com/Images/Product/ZEA00282/1.jpg,https://img.faballey.com/images/Product/ZEA00282/2.jpg,gold,earrings
6,Gold White Crystal Orb Bangle Set,1300.00,https://img.faballey.com/Images/Product/ZBR00076/1.jpg,https://img.faballey.com/images/Product/ZBR00076/2.jpg,White,bangles-bracelets
7,Gold White Kite Diamond Bangle Set,1600.00,https://img.faballey.com/Images/Product/ZBR00033/1.jpg,https://img.faballey.com/images/Product/ZBR00033/2.jpg,White,bangles-bracelets
8,Gold Satin Finish Cuff Bracelet,700.00,https://img.faballey.com/Images/Product/ZBR00052/1.jpg,https://img.faballey.com/images/Product/ZBR00052/2.jpg,gold,bangles-bracelets
36,Gold Crystal Double Drop Earrings,975.00,https://img.faballey.com/Images/Product/ZEA00477/1.jpg,https://img.faballey.com/images/Product/ZEA00477/2.jpg,Gold,earrings
37,Gold D-Shaped Pearl Closure Hoop Earrings,550.00,https://img.faballey.com/Images/Product/ZEA00400/1.jpg,https://img.faballey.com/images/Product/ZEA00400/2.jpg,Gold,earrings
38,Silver Crystal Rectangle Drop Earrings,900.00,https://img.faballey.com/Images/Product/ZEA00476/1.jpg,https://img.faballey.com/images/Product/ZEA00476/2.jpg,Silver,earrings
39,Gold Green Floral Chain Dangler Earrings,950.00,https://img.faballey.com/Images/Product/ZEA00465/1.jpg,https://img.faballey.com/images/Product/ZEA00465/2.jpg,Green,earrings
9,Gold Green Kundan Beaded Bracelet,900.00,https://img.faballey.com/Images/Product/ZBR00069/1.jpg,https://img.faballey.com/images/Product/ZBR00069/2.jpg,Green,bangles-bracelets
10,Gold Green Diamond Bangle Set,1050.00,https://img.faballey.com/Images/Product/ZBR00007/1.jpg,https://img.faballey.com/images/Product/ZBR00007/2.jpg,Green,bangles-bracelets
11,Gold Dazzler Multichain Bracelet,800.00,https://img.faballey.com/Images/Product/ZBR00059/1.jpg,https://img.faballey.com/images/Product/ZBR00059/2.jpg,gold,bangles-bracelets
12,Gold Crystal Bangle Set of 4,1475.00,https://img.faballey.com/Images/Product/ZBR00079/1.jpg,https://img.faballey.com/images/Product/ZBR00079/2.jpg,White,bangles-bracelets
